Arkansas,Metropolitan,Cleveland,13,0,3,,0,10,54,16,33,5,0
Arkansas,Metropolitan,Craighead,46,1,13,,4,28,297,97,174,26,4
Arkansas,Metropolitan,Crawford,80,0,11,,0,69,358,70,243,45,2
Arkansas,Metropolitan,Crittenden,106,3,5,,16,82,309,108,181,20,1
Arkansas,Metropolitan,Faulkner,110,2,16,,5,87,1121,294,675,152,8
Arkansas,Metropolitan,Garland,345,0,38,,24,283,1831,786,926,119,0
Arkansas,Metropolitan,Grant,25,0,5,,0,20,193,40,132,21,1
Arkansas,Metropolitan,Jefferson,77,2,10,,3,62,385,135,222,28,6
Arkansas,Metropolitan,Lincoln,17,0,1,,1,15,90,37,46,7,0
Arkansas,Metropolitan,Little River,12,0,5,,0,7,53,15,31,7,0
Arkansas,Metropolitan,Lonoke,106,2,5,,0,99,428,117,259,52,5
Arkansas,Metropolitan,Madison,30,3,6,,0,21,105,43,57,5,4
Arkansas,Metropolitan,Perry,29,0,5,,0,24,186,43,138,5,0
Arkansas,Metropolitan,Poinsett,11,0,2,,1,8,1,0,1,0,0
Arkansas,Metropolitan,Pulaski,365,2,25,,27,311,1657,469,1034,154,12
Arkansas,Metropolitan,Saline,151,0,8,,5,138,651,223,349,79,2
Arkansas,Metropolitan,Sebastian,36,0,5,,1,30,317,112,191,14,1
Arkansas,Metropolitan,Washington,153,0,16,,2,135,611,215,358,38,6
Arkansas,Nonmetropolitan,Arkansas,8,0,1,,0,7,167,33,106,28,0
Arkansas,Nonmetropolitan,Ashley,11,0,3,,0,8,238,103,126,9,5
Arkansas,Nonmetropolitan,Baxter,67,3,15,,2,47,612,81,503,28,0
Arkansas,Nonmetropolitan,Boone,202,2,23,,0,177,379,128,225,26,0
Arkansas,Nonmetropolitan,Bradley,7,0,0,,0,7,39,19,17,3,0
Arkansas,Nonmetropolitan,Calhoun,2,1,0,,1,0,56,22,32,2,1
Arkansas,Nonmetropolitan,Carroll,53,0,4,,0,49,259,53,186,20,0
Arkansas,Nonmetropolitan,Chicot,4,0,1,,0,3,73,26,47,0,1
Arkansas,Nonmetropolitan,Clark,19,0,1,,1,17,93,28,60,5,1
Arkansas,Nonmetropolitan,Cleburne,42,0,20,,1,21,300,101,162,37,4
Arkansas,Nonmetropolitan,Columbia,23,0,0,,2,21,38,16,20,2,1
Arkansas,Nonmetropolitan,Conway,28,2,4,,2,20,295,45,216,34,5
Arkansas,Nonmetropolitan,Cross,21,0,3,,0,18,129,32,93,4,1
Arkansas,Nonmetropolitan,Dallas,4,0,0,,0,4,30,4,23,3,0
Arkansas,Nonmetropolitan,Drew,25,0,6,,0,19,103,28,62,13,2
Arkansas,Nonmetropolitan,Franklin,39,0,8,,2,29,114,33,69,12,1
Arkansas,Nonmetropolitan,Fulton,11,0,1,,1,9,69,0,62,7,0
Arkansas,Nonmetropolitan,Greene,37,0,4,,1,32,214,77,118,19,2
Arkansas,Nonmetropolitan,Hempstead,43,0,2,,3,38,187,41,130,16,4
Arkansas,Nonmetropolitan,Howard,6,0,1,,0,5,63,37,26,0,4
Arkansas,Nonmetropolitan,Independence,153,0,31,,6,116,738,222,461,55,12
Arkansas,Nonmetropolitan,Izard,37,0,19,,0,18,242,51,183,8,5
Arkansas,Nonmetropolitan,Jackson,31,0,4,,0,27,162,56,92,14,3
Arkansas,Nonmetropolitan,Johnson,64,2,17,,0,45,200,118,69,13,1
Arkansas,Nonmetropolitan,Lawrence,15,0,6,,0,9,82,28,50,4,1
Arkansas,Nonmetropolitan,Lee,6,0,0,,0,6,91,17,67,7,0
Arkansas,Nonmetropolitan,Logan,37,1,6,,4,26,242,84,139,19,4
Arkansas,Nonmetropolitan,Marion,36,0,9,,0,27,240,56,174,10,2
Arkansas,Nonmetropolitan,Mississippi,34,0,11,,9,14,365,106,232,27,1
Arkansas,Nonmetropolitan,Montgomery,12,0,1,,0,11,96,29,56,11,1
Arkansas,Nonmetropolitan,Nevada,11,0,1,,1,9,60,38,18,4,0
Arkansas,Nonmetropolitan,Newton,17,0,5,,0,12,81,34,43,4,2
Arkansas,Nonmetropolitan,Pike,17,0,7,,0,10,77,37,36,4,0
Arkansas,Nonmetropolitan,Polk,30,0,5,,2,23,134,39,88,7,12
Arkansas,Nonmetropolitan,Pope,55,2,4,,2,47,328,135,166,27,2
Arkansas,Nonmetropolitan,Randolph,17,1,10,,0,6,153,44,99,10,0
Arkansas,Nonmetropolitan,Scott,12,0,2,,0,10,97,36,58,3,5
Arkansas,Nonmetropolitan,Searcy,8,0,0,,0,8,25,7,15,3,0
Arkansas,Nonmetropolitan,Sevier,13,0,1,,1,11,110,51,56,3,1
Arkansas,Nonmetropolitan,St. Francis,16,0,2,,1,13,273,73,196,4,0
Arkansas,Nonmetropolitan,Stone,34,0,6,,0,28,139,63,73,3,1
Arkansas,Nonmetropolitan,Union,41,1,0,,3,37,357,102,217,38,1
Arkansas,Nonmetropolitan,Van Buren,18,0,1,,0,17,198,32,136,30,5
Arkansas,Nonmetropolitan,White,122,0,33,,1,88,750,223,446,81,1
Arkansas,Nonmetropolitan,Woodruff,3,0,0,,0,3,34,8,11,15,0
Arkansas,Nonmetropolitan,Yell,50,0,11,,1,38,173,51,116,6,2
California,Metropolitan,Alameda,510,6,13,,177,314,2077,463,985,629,11
California,Metropolitan,Butte4,155,4,20,,14,117,1422,708,693,21,0
California,Metropolitan,Contra Costa,426,14,24,,153,235,2013,660,1332,21,18
California,Metropolitan,El Dorado4,252,9,46,,32,165,2031,577,1412,42,4
California,Metropolitan,Fresno,962,8,32,,112,810,3810,1398,1838,574,145
California,Metropolitan,Imperial4,219,0,6,,7,206,625,202,395,28,21
California,Metropolitan,Kern,2235,31,157,,360,1687,9903,3243,4777,1883,300
California,Metropolitan,Kings4,122,2,16,,9,95,470,193,265,12,5
California,Metropolitan,Los Angeles,5173,98,304,,1212,3559,16301,3739,8359,4203,215
California,Metropolitan,Madera,334,1,18,,26,289,1252,556,686,10,4
California,Metropolitan,Marin,95,3,5,,20,67,746,189,554,3,4
California,Metropolitan,Merced,432,10,20,,30,372,1605,596,955,54,10
California,Metropolitan,Monterey,244,5,31,,48,160,1246,347,872,27,12
California,Metropolitan,Napa,79,1,13,,3,62,278,107,170,1,0
California,Metropolitan,Orange,213,2,12,,28,171,1265,244,879,142,11
California,Metropolitan,Placer,299,4,20,,36,239,1659,454,1163,42,4
California,Metropolitan,Riverside,885,12,38,,172,663,7680,1880,4321,1479,18
California,Metropolitan,Sacramento,3117,37,155,,1026,1899,11164,3690,7348,126,31
California,Metropolitan,San Benito,41,1,4,,4,32,173,57,106,10,0
California,Metropolitan,San Bernardino,920,18,91,,141,670,5527,1719,2583,1225,62
California,Metropolitan,San Diego,1161,10,110,,161,880,4784,1153,2843,788,41
California,Metropolitan,San Joaquin,845,5,18,,161,661,3564,1039,2381,144,30
California,Metropolitan,San Luis Obispo4,324,3,17,,15,289,1347,461,873,13,3
California,Metropolitan,San Mateo,330,3,53,,90,184,2796,467,1953,376,15
California,Metropolitan,Santa Barbara,266,2,29,,32,203,1676,511,1152,13,12
California,Metropolitan,Santa Clara,232,4,36,,24,168,1358,261,899,198,3
California,Metropolitan,Santa Cruz,295,0,25,,40,230,1935,604,1323,8,15
California,Metropolitan,Shasta,697,3,69,,26,599,958,423,489,46,23
California,Metropolitan,Solano,101,3,7,,14,77,404,186,176,42,9
California,Metropolitan,Sonoma,638,5,73,,58,502,1468,517,937,14,19
California,Metropolitan,Stanislaus,394,11,35,,122,226,2123,884,1188,51,14
California,Metropolitan,Sutter4,104,1,9,,10,84,562,185,332,45,4
California,Metropolitan,Tulare5,383,23,29,,64,267,2075,750,1325,0,0
California,Metropolitan,Ventura,169,3,32,,16,118,849,236,530,83,15
California,Metropolitan,Yolo,87,1,13,,5,68,309,109,185,15,6
California,Metropolitan,Yuba,227,3,19,,40,165,1223,417,799,7,11
California,Nonmetropolitan,Alpine4,9,0,0,,0,9,35,15,19,1,0
California,Nonmetropolitan,Amador4,50,1,2,,5,42,340,130,205,5,1
California,Nonmetropolitan,Calaveras4,111,6,24,,8,73,656,251,386,19,0
California,Nonmetropolitan,Colusa4,33,0,2,,0,31,166,49,116,1,0
California,Nonmetropolitan,Del Norte4,101,1,21,,13,66,380,194,182,4,13
California,Nonmetropolitan,Glenn4,44,1,2,,3,38,165,74,89,2,2
California,Nonmetropolitan,Humboldt4,265,7,18,,45,195,760,371,358,31,12
California,Nonmetropolitan,Inyo4,58,0,7,,7,44,107,41,65,1,0
California,Nonmetropolitan,Lake4,200,3,16,,17,164,837,380,452,5,13
California,Nonmetropolitan,Lassen4,47,0,3,,3,41,200,78,122,0,3
California,Nonmetropolitan,Mariposa,89,0,8,,1,80,268,77,189,2,0
California,Nonmetropolitan,Mendocino,324,5,56,,20,243,451,215,230,6,10
California,Nonmetropolitan,Modoc4,34,0,1,,0,33,54,18,36,0,0
California,Nonmetropolitan,Mono4,14,0,1,,2,11,42,16,25,1,0
California,Nonmetropolitan,Nevada,139,0,10,,8,121,716,380,321,15,5
California,Nonmetropolitan,Plumas4,82,1,12,,4,65,271,111,156,4,0
California,Nonmetropolitan,Sierra,3,0,0,,0,3,31,5,23,3,0
California,Nonmetropolitan,Siskiyou,39,2,4,,6,27,158,70,79,9,0
California,Nonmetropolitan,Tehama,167,3,5,,1,158,249,173,75,1,14
California,Nonmetropolitan,Trinity,34,1,6,,5,22,187,94,90,3,0
California,Nonmetropolitan,Tuolumne4,185,0,49,,22,114,749,413,330,6,2
Colorado,Metropolitan,Adams,476,6,93,,68,309,2649,468,1518,663,19
